Gene,mean_exp_c57,koff_c57,kon_c57,regime_c57,regime_v2_c57,s_c57
E2f1,2.55,173.70440025,1.10358236,unz,uz,403.63928796
E2f3,0.67,1.59408895,0.28190212,uz,uz,4.44746484
E2f4,2.25,0.9885974000000001,0.79256638,b,uz,5.06212255
E2f6,0.32,21.85739713,0.28485802,uz,uz,24.76247813
E2f8,0.7,2.20096961,0.30058267,uz,uz,5.83143742
E330013P04Rik,0.06,18.4723264,0.0037905219299999996,uz,uz,286.752344
E430025E21Rik,1.03,22.07414756,0.70062246,uz,uz,33.57454096
E4f1,0.43,2.71147328,0.45049915,uz,uz,3.05302792
Eaf1,4.29,0.57338229,0.19507636,b,uz,16.89105882
Eapp,3.97,0.35905073,0.23907904,b,b,9.933736999999999
Ears2,0.59,89.45448305,0.57361308,uz,uz,92.9096885
Ebna1bp2,7.9,3.8548456,1.84277826,unz,unz,24.42452237
Ebp,8.02,3.07447781,1.77103671,unz,unz,21.9422289
Ebpl,1.88,284.33551897,0.96390275,uz,uz,557.24720982
Ecd,2.2,8.62238517,0.9973832,uz,uz,21.180812699999997
Ech1,2.23,16.33870043,1.16036733,unz,uz,33.61457733
Echdc2,9.54,1.80004794,1.09771345,unz,unz,25.17456389
Echs1,1.73,4.05106928,0.63144812,uz,uz,12.84916942
Eci1,2.04,2.19326455,0.55438321,uz,uz,10.09285635
Eci2,0.73,0.8565265,0.24902814,b,uz,3.26189823
Ecm1,0.12,0.37836537,0.02408471,b,uz,2.01985687
Ecsit,1.6,4.892894999999999,0.85269477,uz,uz,10.79691138
Eda,0.11,20.09733698,0.04931833,uz,uz,46.00485288
Eda2r,0.57,1.39066204,0.16143928,uz,uz,5.44204342
Edc4,0.53,16.8297345,0.10592079,uz,uz,84.62824920000001
Edem2,1.41,61.42269081,0.5340085,uz,uz,163.25471091
Edem3,0.35,29.096688,0.28161193,uz,uz,36.06394237
Edn1,0.26,4.46400459,0.20448903,uz,uz,5.89546374
Eea1,1.12,2.46230048,0.25065872,uz,uz,12.15798629
Eed,9.79,4.92522427,1.74080209,unz,unz,37.49482886
Eef1b2,24.5,0.21950593,0.20855989,b,b,50.27638566
Eef1d,10.05,4.36069764,1.77719065,unz,unz,34.71969111
Eef1e1,4.48,0.97580828,0.7987368,b,b,9.94524234
Eef1g,8.87,0.22097024,0.10096521,b,b,28.270766899999998
Eef2k,0.81,0.55751023,0.22633193,b,uz,2.81673204
Eefsec,2.39,6.72242958,1.55876346,unz,unz,12.71485759
Efcab1,0.05,15.51743079,0.03470889,uz,uz,23.99104165
Efcab2,0.19,13.03610472,0.1202365,uz,uz,20.26416082
Efhb,0.24,2.11220912,0.12773535,uz,uz,4.15771097
Efhd1,0.19,0.48356217,0.0807621,b,uz,1.33858917
Efhd2,0.54,4.84491069,0.52965089,uz,uz,5.51581408
Efna1,0.1,8.37222053,0.008020637950000001,uz,uz,107.595183
Efna4,0.65,32.20909369,0.63883281,uz,uz,33.66754064
Efnb1,0.27,26.50633558,0.11620928,uz,uz,62.78003195
Efr3a,2.3,2.93366265,0.9853576999999999,uz,uz,9.15950628
Efr3b,0.06,1.34748112,0.01856586,uz,uz,4.74228416
Eftud1,1.02,0.82401404,0.39924358,b,uz,3.13604709
Eftud2,10.72,1.88319393,1.52021283,unz,unz,23.99882814
Egfl6,1.8,2.08010716,0.61386741,uz,uz,7.91109277
Egfl7,0.9,3.01925548,0.74112045,uz,uz,4.55918252
Egln1,1.07,0.60029834,0.30965802,b,uz,3.1310377000000003
Egln2,1.52,0.81663841,0.75081232,b,uz,3.1673825
Egln3,1.09,14.04212423,0.36950657,uz,uz,42.40993709
Ehbp1l1,0.3,13.504034099999998,0.08569749,uz,uz,48.09919935
Ehd3,0.06,2.16489653,0.04496335,uz,uz,3.14221161
Ehd4,1.34,2.14408471,0.6846704,uz,uz,5.51852804
Ehmt1,1.83,101.67503707,1.05701114,unz,uz,178.00509279
Ehmt2,1.9,2.67924759,0.40573169,uz,uz,14.45894071
Ei24,1.38,9.43853522,1.17149118,unz,uz,12.46759448
Eid2,0.4,22.01669235,0.38543066,uz,uz,23.0084006
Eid2b,0.47,51.77699088,0.33238866,uz,uz,74.20421316
Eif1ad,2.68,1.68851607,0.7277451,uz,uz,8.89347255
Eif1ax,7.23,18.74094853,1.90590558,unz,unz,78.31637774
Eif2a,3.21,0.19498324,0.25016792,b,b,5.70314722
Eif2ak2,0.96,4.57572137,0.78191236,uz,uz,6.60099157
Eif2b1,2.59,5.70793342,1.1346839,unz,uz,15.63132917
Eif2b2,2.81,252.81453383,1.11172516,unz,uz,642.36316318
Eif2b3,4.02,0.77913791,0.66864567,b,b,8.69981879
Eif2b4,3.43,22.22669858,1.4722841,unz,unz,55.1821382
Eif2b5,8.46,5.02333824,1.79837878,unz,unz,32.10940487
Eif2d,3.85,1.417527,1.28142149,unz,unz,8.11559604
Eif2s1,5.88,0.19806246,0.13532729999999998,b,b,14.47923617
Eif2s2,13.93,0.3370802,0.22939782,b,b,34.38887057
Eif3a,27.74,2.06534579,1.86792258,unz,unz,58.41414372
Eif3b,12.69,2.39579307,2.08181617,unz,unz,27.290686100000002
Eif3c,18.33,6.76084666,3.81449675,unz,unz,50.80807561
Eif3d,18.79,3.48466666,2.80364828,unz,unz,42.15420376
Eif3e,12.56,2.86787147,1.06966001,unz,unz,46.23140292
Eif3f,4.65,1.58122093,1.3413951000000002,unz,unz,10.136425599999999
Eif3g,17.67,165.84834547,3.86147942,unz,unz,776.70676546
Eif3h,4.46,522.595825,1.91810146,unz,unz,1219.49003637
Eif3i,6.29,3.67110814,1.51399207,unz,unz,21.55319457
Eif3k,21.35,1.95074228,1.96594781,unz,unz,42.54439895
Eif3l,10.34,2.09215641,1.90703669,unz,unz,21.68074996
Eif3m,7.69,2.31346021,0.91190188,uz,uz,27.18845694
Eif4a2,6.81,121.20784498,1.64858125,unz,unz,507.70961283
Eif4a3,4.01,10.969711,1.44406375,unz,unz,34.49173775
Eif4b,8.87,5.19699025,2.37887591,unz,unz,28.25775735
Eif4e2,11.56,5.55082259,1.98300803,unz,unz,43.91999457
Eif4ebp1,14.94,13.46052275,2.83722081,unz,unz,85.80492759
Eif4ebp2,1.27,124.91860651,0.68266044,uz,uz,233.23635037
Eif4g1,11.26,0.93621573,1.0647026000000002,unz,unz,21.15418748
Eif4g2,8.07,0.99867766,0.26312782,b,uz,38.6779907
Eif4g3,0.16,1.66649709,0.06339051,uz,uz,4.49708658
Eif4h,9.26,142.99769053,3.57583124,unz,unz,379.77012631
Eif5,12.96,1.56779959,0.8481979,uz,uz,36.91897782
Eif6,12.53,3.37483038,1.66456183,unz,unz,37.936567499999995
Elac2,1.11,6.09163949,0.80205394,uz,uz,9.55033521
Elavl1,2.12,59.42355776,1.4916816000000002,unz,uz,86.53141725
Elavl2,0.76,3.23760186,0.21156346,uz,uz,12.46422882
Elavl4,0.07,6.15100508,0.011808869599999999,uz,uz,34.7008143
Elf2,1.28,0.15013647,0.07605644,b,b,3.79957868
Elf4,1.92,0.24880775,0.06874116,b,b,8.85533035
Ell2,0.47,123.49039411,0.29775533,uz,uz,197.42983272
Ell3,0.42,3.30730829,0.39212445,uz,uz,3.94138121
Elmo1,0.63,37.44406283,0.3905714,uz,uz,61.45532751
Elmo3,0.32,2.23550847,0.21952929999999996,uz,uz,3.59171316
Elmod3,0.73,2.90420786,0.24665403,uz,uz,9.28191608
Elovl6,5.33,3.57042439,1.46707903,unz,unz,18.28949038
Elovl7,0.68,0.77702097,0.20663486,b,uz,3.21993878
Elp2,1.96,302.43812745,1.92829892,unz,uz,309.02485956
Elp3,2.24,0.05111871,0.05919314,b,b,4.16704683
Emb,2.0,9.16789191,1.15566152,unz,uz,17.87145299
Emd,7.3,4.08636577,2.51749477,unz,unz,19.15832303
Eme1,1.32,3.51201505,0.49600696,uz,uz,10.69623593
Emg1,7.55,1.35239172,1.01331403,unz,unz,17.62790482
Eml1,0.41,0.03124481,0.00735576,b,b,2.16909914
Eml2,1.35,1.43397412,0.3279098,uz,uz,7.263509
Eml3,0.33,1.75317777,0.08721156,uz,uz,7.0137713
Eml4,3.58,0.27604498,0.22920207,b,b,7.89778338
Eml5,0.65,71.76271609999999,0.21405887199999998,uz,uz,219.927904
Emp1,0.86,0.13601959,0.04211948,b,b,3.64991806
Emp2,0.89,30.75079549,0.59350685,uz,uz,46.87452905
Emp3,0.14,3.24983296,0.06423711,uz,uz,7.46370486
Enah,2.65,0.54785918,0.32594855,b,uz,7.099980900000001
Eng,0.87,0.32384793,0.21983107,b,uz,2.15249001
Eno1,9.85,1.09070089,0.92253677,uz,uz,21.50593677
Eno3,0.22,33.15529518,0.15027120000000002,uz,uz,47.70718666
Enoph1,1.98,2.83594008,0.8784883,uz,uz,8.36886776
Enox2,0.78,0.94164407,0.322535,b,uz,3.06173605
Ensa,3.13,0.43043309,0.23264628,b,uz,8.93228394
Entpd2,0.04,13.4797176,0.0174864986,uz,uz,33.1892545
Entpd3,0.02,11.598601400000002,0.008479583709999999,uz,uz,28.6262299
Entpd6,0.48,8.55734357,0.34960487,uz,uz,12.14710823
Eomes,0.4,61.23499849,0.21550559,uz,uz,113.03524456
Ep300,0.85,0.78304772,0.13327797,b,uz,5.85350004
Ep400,3.02,3.79971599,0.61030205,uz,uz,21.79515231
Epas1,1.57,3.12422116,0.81283174,uz,uz,7.62499195
Epb4.1,2.02,4.04326065,0.69195336,uz,uz,13.82596616
Epb4.1l1,0.43,0.86064053,0.12736686,b,uz,3.36047918
Epb4.1l2,2.07,5.43075171,0.97492136,uz,uz,13.63178879
Epb4.1l3,0.27,0.43350523,0.02951408,b,uz,4.28057163
Epb4.1l4a,2.67,6.24518577,1.07076483,unz,uz,18.27676354
Epc1,1.45,79.1756036,0.33703037700000005,uz,uz,341.721777
Epc2,0.61,2.01503215,0.25972891,uz,uz,5.36515129
Epcam,3.61,2.03813703,0.83853538,uz,uz,12.37752007
Epdr1,0.13,6.34760475,0.021865932799999998,uz,uz,38.5774952
Epha2,0.98,35.94772844,0.7551411,uz,uz,47.58453275
Epha4,2.69,1.39192592,0.51836087,uz,uz,9.91955601
Ephb2,0.48,15.85258996,0.25453159,uz,uz,30.57910607
Ephb4,0.4,1.48488036,0.22720421,uz,uz,3.03053967
Ephx1,0.32,21.34321886,0.23149886,uz,uz,29.66552302
Ephx2,1.8,1.94347349,1.05465645,unz,uz,5.10768297
Epn1,1.61,5.48312932,0.74892862,uz,uz,13.41318722
Epn2,2.09,53.95844736,1.10048751,unz,uz,104.56105812
Eprs,8.14,3.90325791,2.19088552,unz,unz,22.65335335
Eps8l2,0.28,57.5295649,0.17281071,uz,uz,94.43409659999999
Erbb2ip,0.21,2.72686587,0.18072417,uz,uz,3.32915973
Erc1,1.27,0.20167198,0.19016906,b,uz,2.61665923
Ercc1,3.57,11.09101004,1.31270962,unz,uz,33.74441286
Ercc3,0.99,1.90712857,0.41802361,uz,uz,5.50323201
Ercc5,2.56,6.7053818,0.47710328,uz,uz,38.53027983
Ercc6,0.1,22.42017171,0.09120863,uz,uz,24.45764134
Ercc6l,1.3,61.87682461,0.77132432,uz,uz,105.63058574
Ercc8,1.04,0.40606747,0.18491513,b,uz,3.33952406
Ergic1,2.5,8.39114952,1.49374012,unz,uz,16.54890138
Ergic2,3.21,1.75142154,0.59175339,uz,uz,12.71109562
Ergic3,2.15,1.93211765,1.34472322,unz,unz,5.23890128
Eri1,1.59,0.85264365,0.3055065,b,uz,6.04038546
Eri2,0.17,114.34410798,0.15080365,uz,uz,128.11800719
Eri3,2.52,5.96715084,1.13904271,unz,uz,15.69837444
Erich1,1.3,35.01694132,0.71810791,uz,uz,64.68093153
Erlin1,0.35,85.01930493,0.32326036,uz,uz,93.09673839
Ermp1,1.55,0.92827273,0.37936049,b,uz,5.35829593
Ero1l,0.82,2.57395033,0.65689017,uz,uz,4.05615901
Erp29,4.25,0.53578127,0.53314435,b,uz,8.53043085
Esco1,0.79,28.65043971,0.31364192,uz,uz,73.19556245
Esco2,4.99,2.54469071,0.7338262,uz,uz,22.27705172
Esd,3.29,328.38857032,2.33216578,unz,unz,466.31452381
Esf1,5.69,5.14579829,1.28816686,unz,unz,28.44315836
Espl1,1.39,1.39770949,0.42123241,uz,uz,5.98860913
Espn,0.02,10.4355855,0.008722925329999999,uz,uz,25.8656361
Esrra,0.6,1.1879520000000001,0.28348237,uz,uz,3.1067769
Esyt2,0.4,30.04989411,0.30606946,uz,uz,39.41152213
Etaa1,4.48,2.84622339,1.01181355,unz,uz,17.07596616
Etf1,6.43,0.92672607,1.00523191,unz,unz,12.36203373
Etfa,6.06,0.39552304,0.69093422,b,b,9.53096434
Etfb,8.29,14.48048472,2.16194011,unz,unz,63.83608032
Etfdh,1.66,2.39525092,0.77146804,uz,uz,6.816157400000001
Ethe1,1.13,3.40350188,0.51153074,uz,uz,8.63713169
Etnk1,1.73,1.3699383,1.17733901,unz,uz,3.73794262
Ets2,0.91,0.30597588,0.10493865,b,uz,3.55116514
Etv3,0.17,0.7927969,0.03215743,b,uz,4.47299503
Etv4,0.49,0.8303341999999999,0.06542208,b,uz,6.76074482
Etv6,0.78,4.08215051,0.71308174,uz,uz,5.23148673
Evc2,0.36,6.24518299,0.12478258,uz,uz,18.14354959
Evi5,0.61,1.90926467,0.15464,uz,uz,8.14026857
Evl,0.99,1.37059482,0.28000640000000004,uz,uz,5.85010363
Ewsr1,8.43,2.00140193,1.88168066,unz,unz,17.39863911
Exd2,0.66,2.01370027,0.41844726,uz,uz,3.83622893
Exo1,1.66,0.74411972,0.44081636,b,uz,4.46378055
Exoc1,1.24,1.92711812,0.48588797,uz,uz,6.16856787
Exoc3,1.48,0.78007491,0.28470531,b,uz,5.53863604
Exoc3l,0.56,4.81033443,0.31604685,uz,uz,9.07779774
Exoc4,1.49,79.53730982,1.46639835,unz,uz,82.56453738
Exoc5,0.25,3.97614077,0.0245810465,uz,uz,39.945412899999994
Exosc1,2.87,29.49543611,1.4654353999999998,unz,uz,60.69533824
Exosc10,1.11,1.63949201,0.64480427,uz,uz,3.92761526
Exosc4,3.64,1.11355852,0.59665982,uz,uz,10.4233243
Exosc5,6.75,2.11953493,1.10997819,unz,unz,19.62552239
Exosc7,5.89,1.44445617,1.1184399,unz,unz,13.49549115
Exosc8,7.89,3.11382838,1.37571428,unz,unz,25.73243435
Exosc9,2.72,2.80673801,0.83741636,uz,uz,11.82312407
Ext2,1.69,1.48297604,0.561346,uz,uz,6.16577979
Extl3,0.95,2.70705325,0.46402149,uz,uz,6.48008689
Eya3,3.54,2.22722931,0.70375922,uz,uz,14.72474915
Ezh1,1.52,293.93372018,1.0765378,unz,uz,417.11686333
Ezh2,5.54,25.26612805,1.56575379,unz,unz,94.98241994
Ezr,10.57,2.70139601,1.14688562,unz,unz,35.4736396
F11r,1.65,161.19395594,1.26997473,unz,uz,211.44542649
F2r,0.55,16.69100213,0.51645337,uz,uz,18.43162172
F2rl1,1.37,97.64199045,0.8409698,uz,uz,160.53747562
F730043M19Rik,0.02,11.0902465,0.00846754797,uz,uz,27.405607
F8,0.13,22.01615292,0.11019602,uz,uz,25.61796007
Fabp5,0.49,106.48861722,0.3059491,uz,uz,171.10622132
Fads1,1.62,2.86326915,0.53633016,uz,uz,10.25524399
Faf1,4.3,111.85759457,3.61164209,unz,unz,137.39860052
Faf2,2.4,1.29179058,0.81761039,uz,uz,6.1799908
Fam103a1,2.11,651.33356235,1.59576263,unz,uz,861.59414459
Fam110a,0.58,2.1019087000000005,0.23142815,uz,uz,5.87160798
Fam110b,0.22,19.57410724,0.11906207,uz,uz,36.32478006
Fam111a,0.06,2.16856347,0.04550391,uz,uz,3.14390686
Fam114a1,0.09,12.86812653,0.03557137,uz,uz,30.85398301
Fam114a2,4.03,20.53596417,2.31798714,unz,unz,39.76046498
Fam115a,0.08,14.24502358,0.04413397,uz,uz,24.44852235
Fam118b,1.23,132.76789515,0.50082999,uz,uz,328.38256314
Fam120a,1.41,0.93164542,0.31239977,b,uz,5.61821261
Fam120b,0.33,8.25204078,0.11059618,uz,uz,24.93962905
Fam120c,0.05,9.26872519,0.0212320662,uz,uz,23.067684
Fam122b,0.45,1.12425932,0.16717868,uz,uz,3.48185828
Fam126a,0.2,2.12761991,0.1357614,uz,uz,3.37268166
Fam126b,0.65,6.85127629,0.35663066,uz,uz,13.03755035
Fam129c,0.13,0.40567153,0.01595049,b,uz,3.38216282
Fam132b,0.09,19.43459583,0.06270821,uz,uz,26.50180557
Fam133b,3.56,2.09668619,0.90209169,uz,uz,11.84886597
Fam134b,0.17,21.67970814,0.11552989,uz,uz,32.85114728
Fam134c,0.48,0.7957528,0.07968659,b,uz,5.22815616
Fam136a,6.57,2.46595859,1.17118484,unz,unz,20.38782182
Fam154b,0.02,11.067663900000001,0.008562107259999998,uz,uz,27.3250897
Fam159a,0.1,37.15440578,0.08495089,uz,uz,42.7791166
Fam159b,0.02,11.292194699999998,0.00847777686,uz,uz,27.8580877
Fam160a2,0.93,0.44372957,0.150677,b,uz,3.67448355
Fam160b1,0.73,13.05483325,0.24432675,uz,uz,39.70702576
Fam161a,0.2,2.05469501,0.04232133,uz,uz,9.72623528
Fam162a,3.6,1.5378923,0.55835535,uz,uz,13.53277089
Fam167a,0.03,16.41141819,0.02851843,uz,uz,18.29449432
Fam168a,0.82,3.07538361,0.47757592,uz,uz,6.09224391
Fam168b,1.71,24.81021927,0.53920889,uz,uz,80.5452849
Fam171b,0.07,14.41666498,0.04314488,uz,uz,24.76870636
Fam173b,0.32,0.28406838,0.04600469,b,uz,2.31226619
Fam175a,0.9,71.66430472,0.72065295,uz,uz,90.84737870000001
Fam175b,0.83,2.26368478,0.36747456,uz,uz,5.92711736
Fam178a,1.79,161.07237661,1.27921112,unz,uz,227.39431275
Fam178b,0.23,2.32134345,0.22067908,uz,uz,2.61290875
Fam188a,1.01,0.08759689,0.10417144,b,uz,1.86164815
Fam192a,1.95,0.9512176,0.51797515,b,uz,5.52681044
Fam193a,1.3,4.32859362,0.25675599,uz,uz,23.13861757
Fam193b,0.78,14.80744355,0.65976365,uz,uz,18.23973502
Fam20b,1.26,0.29748237,0.18604827,b,uz,3.27398862
Fam26f,0.07,5.01573996,0.03958146,uz,uz,9.51034015
Fam32a,3.24,2.48597579,0.81787709,uz,uz,13.08161238
Fam35a,0.6,0.57966305,0.35811350000000003,b,uz,1.58196948
Fam43a,0.48,91.03766590000001,0.32002327,uz,uz,137.74213067
Fam49b,2.45,2.64376187,0.81396433,uz,uz,10.39933112
Fam53a,1.07,1.25748192,0.45127074,uz,uz,4.06966456
Fam63b,1.3,0.33403102,0.15607229,b,uz,4.08689951
Fam64a,0.5,4.32245702,0.37923757,uz,uz,6.25671293
Fam69b,0.36,1.8067261000000003,0.21399463,uz,uz,3.41824388
Fam73a,0.54,0.43697446,0.26610943,b,uz,1.43350551
Fam73b,0.26,39.14441657,0.17639664,uz,uz,57.64184198
Fam76a,0.94,12.90744904,0.56017938,uz,uz,22.63087584
Fam78a,0.14,36.8650459,0.0610419603,uz,uz,87.5723439
Fam83h,0.19,0.61928714,0.02716419,b,uz,4.58278696
Fam86,1.75,75.49062685,1.04386016,unz,uz,128.4988442
Fam89b,0.49,0.92336098,0.11465515,b,uz,4.43874491
Fam92a,0.84,0.48909086,0.24066053,b,uz,2.53211248
Fam96a,1.99,4.43284979,1.05243727,unz,uz,10.37705868
Fam96b,3.06,435.81459908,2.88171477,unz,unz,466.51307591
Fam98a,0.84,0.78800943,0.11496864,b,uz,6.57157362
Fam98b,2.02,212.91285974,0.76934301,uz,uz,560.95364034
Fanca,0.89,5.85465682,0.55288017,uz,uz,10.32002433
Fancc,0.4,2.37365761,0.3803199,uz,uz,2.92876379
Fance,0.76,0.24550288,0.13523776,b,uz,2.14978804
Fancl,1.54,56.94175616,0.76956875,uz,uz,115.76022563
Fancm,4.19,2.84192316,1.06015496,unz,uz,15.41247696
Far1,0.94,89.54726661,0.59433956,uz,uz,142.47829885
Farp1,0.3,50.67309206,0.28965334,uz,uz,52.20164726
Fars2,0.97,5.30318759,0.90074419,uz,uz,6.66701276
Farsa,3.67,2.85312676,1.03262049,unz,uz,13.81614867
Farsb,3.73,41.89341961,1.80467237,unz,unz,90.42520488
Fasn,5.8,1.03672396,0.45037539,uz,uz,19.13873566
Fastk,1.28,4.14459684,0.72475104,uz,uz,8.6320125
Fastkd2,0.91,3.18949474,0.62900645,uz,uz,5.54342421
Fastkd5,0.61,1.65341956,0.32369416,uz,uz,3.70888341
Fat1,1.46,0.07996049,0.07654834,b,uz,2.98966082
Fblim1,2.9,7.06346286,1.132295,unz,uz,20.95833664
Fbln1,1.26,1.08676578,0.62160475,uz,uz,3.46208144
Fbln2,0.05,11.815848800000001,0.0134517304,uz,uz,45.656633
Fbln5,0.09,8.86731023,0.0172552029,uz,uz,48.5675023
Fbxl12,0.47,17.629835500000002,0.47998766,uz,uz,17.75763425
Fbxl14,0.89,84.22206029,0.86816316,uz,uz,87.28798238
Fbxl16,0.09,12.82168167,0.03649371,uz,uz,30.20652237
Fbxl18,0.78,166.00517134,0.45437927,uz,uz,287.58072546
Fbxl20,0.48,0.56852523,0.13977122,b,uz,2.45301282
Fbxl5,1.61,0.39520371,0.29191053,b,uz,3.79757588
Fbxl6,1.55,0.13836764,0.04551398,b,b,6.28045439
Fbxo11,0.6,3.09412609,0.42160538,uz,uz,5.02606918
Fbxo15,3.55,1.34868149,1.1254754999999999,unz,unz,7.8083800000000005
Fbxo22,3.53,6.59472974,1.0143761999999998,unz,uz,26.46370371
Fbxo24,0.03,15.29989664,0.03083079,uz,uz,17.05151704
Fbxo25,0.53,10.49149042,0.41101833,uz,uz,13.99820474
Fbxo28,0.76,0.6727795,0.36749145,b,uz,2.14002581
Fbxo33,1.56,0.44736839,0.13665421,b,uz,6.66768332
Fbxo38,0.98,94.10976454,0.79358124,uz,uz,116.87875949
Fbxo42,1.28,0.67129941,0.37245494,b,uz,3.59631809
Fbxo45,0.48,0.29078758,0.04872769,b,uz,3.35364942
Fbxo6,1.75,1.76383011,0.40676095,uz,uz,9.31826266
Fbxo7,1.0,2.97685941,0.76700927,uz,uz,4.88376069
Fbxo8,0.46,17.58814482,0.28376971,uz,uz,28.76113216
Fbxo9,1.02,1.39850957,0.30910077,uz,uz,5.61631605
Fbxw11,1.71,0.28506569,0.23712111,b,uz,3.75872958
Fbxw2,3.48,0.14403026,0.11553803,b,b,7.82355654
Fbxw5,1.08,166.47216307,0.96632878,uz,uz,186.5097829
Fbxw7,0.94,5.8551922,0.43145953,uz,uz,13.7226764
Fbxw8,1.14,0.34207883,0.13163735,b,uz,4.11390127
Fcf1,10.83,7.4561262,2.01375197,unz,unz,50.93546897
Fcgrt,0.46,50.26016143,0.29672097,uz,uz,77.56227890000001
Fcho2,0.64,2.07388942,0.55666493,uz,uz,3.01100248
Fchsd2,0.21,32.40227468,0.16492682,uz,uz,40.86228582
Fdft1,3.2,2.25524151,0.56632401,uz,uz,15.93765846
Fdx1,1.13,93.08575533,1.01459153,unz,uz,104.82865266
Fdxr,0.39,2.15186964,0.18124566,uz,uz,5.03739274
Fech,0.78,0.85006515,0.24285688,b,uz,3.50639179
Fem1a,0.9,51.23658342,0.80351007,uz,uz,58.49413503
Fem1b,3.09,3.44908927,1.00464061,unz,uz,13.69401717
Fen1,5.22,4.81416315,1.68436756,unz,unz,20.14781779
Fermt2,3.65,0.16791929,0.07435269,b,b,11.87849672
Fermt3,0.11,2.96305538,0.06044107,uz,uz,5.33032862
Fert2,0.78,34.71130827,0.44552349999999996,uz,uz,61.82469409
Fes,0.05,1.37076183,0.02476098,uz,uz,2.88487475
Fez2,0.5,6.4326455000000005,0.40633183,uz,uz,8.41778362
Ffar2,0.03,16.2630561,0.028820299999999997,uz,uz,18.13392029
Fgd1,4.43,0.74668313,0.41000993,b,b,12.48577526
Fgd2,0.04,13.9095543,0.0171052836,uz,uz,34.2594727
Fgd4,0.39,17.12284691,0.33716066,uz,uz,20.07497322
Fgd5,0.12,10.96566699,0.09294664,uz,uz,13.92522711
Fgd6,0.24,22.909337100000002,0.20377304,uz,uz,26.72277572
Fgf10,0.15,1.15084862,0.01903165,uz,uz,9.34068168
Fgfr1op2,1.69,1.70225837,0.6798284000000001,uz,uz,5.92160781
Fgfr2,0.1,32.6199964,0.051061208899999995,uz,uz,61.217583
Fgfr4,0.11,0.40168703,0.03964727,b,uz,1.27766979
Fggy,0.03,16.43676184,0.02851673,uz,uz,18.32329041
Fh1,2.52,3.90316304,1.03625527,unz,uz,12.01578476
Fhl1,15.84,3.00873923,3.26807286,unz,unz,30.42787746
Fhod1,0.54,1.01774093,0.16976611,uz,uz,3.80096108
Fhod3,1.12,0.7240673000000001,0.24273999,b,uz,4.47049548
Fibp,3.41,1.87537781,1.25372143,unz,unz,8.50922981
Fig4,1.37,142.00488648,1.09224892,unz,uz,178.92104349
Figf,0.12,21.15817601,0.05090464,uz,uz,49.30708164
Fignl1,2.45,4.44152726,0.8359754999999999,uz,uz,15.46786865
Filip1l,0.07,2.16786973,0.04601199,uz,uz,3.14274692
Fip1l1,6.24,1.52610896,0.97458288,uz,uz,16.01365395
Fis1,3.21,1.58466555,0.18418804,uz,uz,30.80142579
Fitm2,0.22,1.04207283,0.16688668,uz,uz,1.55849712
Fiz1,1.82,1.39992393,1.01853609,unz,uz,4.31594981
Fkbp11,0.69,0.80051145,0.21108474,b,uz,3.32607345
Fkbp14,0.07,13.73181926,0.04797434,uz,uz,21.06083594
Fkbp15,1.18,1.0303528,0.35492633,uz,uz,4.62183394
Fkbp1a,7.96,5.98089448,2.39799398,unz,unz,27.81123163
Fkbp3,49.52,6.03413465,2.84635081,unz,unz,154.48921316
Fkbp4,18.4,191.47592323,2.25315324,unz,unz,1582.05787766
Fkbp5,1.97,156.62523068,1.23575265,unz,uz,251.46750581
Fkbp8,2.22,338.15605456,1.61847518,unz,uz,466.02272176
Fkbp9,2.62,1.73520871,1.72752976,unz,unz,5.24971855
Fktn,0.36,42.85543354,0.18523612,uz,uz,82.71865799
Flii,1.68,0.97205952,0.37806731,b,uz,6.00383052
Flna,4.9,494.14140417,1.9563662,unz,unz,1243.414448
Flnb,4.93,175.38992026,1.76889619,unz,unz,493.56014510000006
Flnc,0.05,15.09615724,0.03522489,uz,uz,22.63725954
Flot2,1.37,17.76389052,1.00280912,unz,uz,25.55871183
Flrt1,0.05,10.1432594,0.0131514466,uz,uz,40.4258365
Flywch1,0.61,29.53511671,0.1879671,uz,uz,96.19175333
Fmn1,0.1,1.16022949,0.02285516,uz,uz,5.33278864
Fmn2,0.39,22.29294007,0.33141612,uz,uz,26.32863498
Fmnl1,0.05,14.12822044,0.03362048,uz,uz,22.34343534
Fmo5,0.06,13.815071599999998,0.0262449227,uz,uz,33.2233762
Fmr1,1.55,5.02399064,0.6227699000000001,uz,uz,14.04929844
Fn1,26.18,585.272618,3.6355875,unz,unz,4240.22846
Fnbp1l,1.53,0.82803864,0.37496218,b,uz,4.90524125
Fnbp4,3.05,0.29416287,0.28013622,b,b,6.24293474
Fndc1,0.04,1.7139842,0.03959256,uz,uz,1.87961738
Fndc3a,0.83,8.20339421,0.30657309,uz,uz,23.16734595
Fndc3b,0.51,2.99856531,0.15595992,uz,uz,10.26368784
Fnip1,0.96,2.37674332,0.3915344,uz,uz,6.75383733
Fnta,3.04,328.5276605,1.62978111,unz,unz,614.85894325
Folr1,2.41,8.49301012,0.98920434,uz,uz,23.09322105
Foxj2,0.13,1.89171116,0.08893583,uz,uz,2.8754972999999997
Foxk2,0.62,2.82768363,0.48721933,uz,uz,4.22564573
Foxm1,0.63,96.57510571,0.49038952,uz,uz,124.77322420000002
